Name,Size,Matnnz,Rank,FacTime,FacError,NumSwaps,SwapTime,SwapError,Ucond1,Ucond2,Unnz,Lnnz
CoupCons3D,416800,17277420,41680,6.138271,0,20,48.410649,1.84963155902551e-13,1,3405146669.21108,42466,1563
CurlCurl_1,226451,2472071,22645,63.755495,8.88178419700125e-16,20,21.799027,8.88178419700125e-16,19.3481155331743,19.3481155331743,233921,212459
FA.mat,10617,72176,1062,1.957577,8.88178419700125e-16,6,1.373454,1.04360964314765e-14,10.7865168539326,8890.98587722153,15909,16605
Ga10As10H3,113081,6115633,11308,4.507404,8.88178419700125e-16,0,1.027618,4.44089209850063e-16,1.23582062245797,1.23582062245797,360135,348827
Oregon-2.m,11806,65460,1181,2.234115,4.85722573273506e-15,1,0.388066,1.77635683940025e-15,1,16,36370,4497
Si87H76.ma,240369,10661631,24037,7.527955,8.88178419700125e-16,0,2.067757,1.33226762955019e-15,1.35789629564439,1.35789629564439,813540,789503
TSOPF_RS_b,60098,1079986,6010,2.332839,3.09197112358106e-14,1,0.661275,1.06581410364015e-14,541.454362594793,134.849497447512,24096,17552
af_shell4.,504855,17562051,50486,6.029897,5.77315972805081e-15,8,27.583557,1.52988732793347e-13,11.8898415649628,1334.59580263331,1600220,1547211
bfly.mat,49152,196608,4915,1.928102,4.44089209850063e-16,0,0.251982,8.88178419700125e-16,1,1,19660,14745
bundle_adj,513351,20207907,51335,0,-1,0,0,-1,0,0,0,0
com-Amazon,334863,1851744,33486,2.810737,3.66373598126302e-15,3,6.405591,6.21724893790088e-15,1,29,325935,2183
higgs-twit,456626,14855842,45663,31.220902,0,0,3.188645,0,1,1,2399477,0
loc-Gowall,196591,1900654,19659,2.981737,0,0,0.783416,0,1,1,598812,0
oh2010.mat,365344,1768240,36534,2367.25256,5.88418203051333e-15,14,0,-1,73.4861615785578,0,0,0
thermomech,204316,2846228,20432,3.13072,9.0205620750794e-16,18,0,-1,8.93340501933115,0,0,0
troll.mat,213453,11985111,21345,5.66693,5.61772850460329e-14,1,2.992333,8.55981951985996e-14,9,27,625614,553905
twotone.ma,120750,1206265,12075,6.96437,6.66133814775094e-16,20,10.63791,7.91033905045424e-16,6038.65,6410.7,120535,13095
vsp_barth5,32212,203610,3221,2.398887,4.44089209850063e-16,3,1.135114,6.66133814775094e-16,2,4,16296,12907
water_tank,60740,2035281,6074,160.858249,1.55431223447522e-15,20,10.731524,927.87978570223,8.71882582236218,1.05623470658635e+20,200908,195647
watson_2.m,352013,1846391,35201,2.790427,-1,0,0,-1,1,0,0,0
wing_nodal,10937,150976,1094,2.378096,7.7715611723761e-16,3,0.875287,6.66133814775094e-16,2,6.5,10294,9086
